,complexity,regret,linearity,running time
0,3485,0,0.0,519.673938035965
1,318,0,0.0,37.805962324142456
2,1703,0,0.0,219.45690274238586
3,1245,0,0.0,193.29717135429382
4,924,0,0.0,129.97398805618286
5,1425,0,0.0,138.9337911605835
6,2337,0,0.0,316.52302527427673
7,1050,0,0.0,195.8809175491333
8,1242,0,0.0,170.24490523338318
9,4971,0,0.0,716.3546702861786
10,1292,0,0.0,195.6180968284607
11,3648,0,0.0,514.0474138259888
12,3279,0,0.0,488.8199360370636
13,1906,0,0.0,264.4402983188629
14,1856,0,0.0,237.69626259803772
15,904,0,0.0,88.92252159118652
16,2014,0,0.0,261.22717905044556
17,2307,0,0.0,359.8134777545929
18,1918,0,0.0,232.07880878448486
19,1391,0,0.0,149.69323754310608
20,1797,0,0.0,213.43684005737305
21,1371,0,0.0,200.76624131202698
22,3412,0,0.0,498.926922082901
23,991,0,0.0,164.90889286994934
24,1925,0,0.0,205.89745044708252
25,965,0,0.0,96.21024775505066
26,2684,0,0.0,384.91537714004517
27,4185,0,0.0,615.716728925705
28,2177,0,0.0,246.09453797340393
29,1583,0,0.0,187.6411383152008
30,1270,0,0.0,168.77845335006714
31,1860,0,0.0,333.7609326839447
32,1276,0,0.0,227.00226712226868
33,2059,0,0.0,293.1395933628082
34,1751,0,0.0,216.32498383522034
35,2327,0,0.0,347.37656450271606
36,4302,0,0.0,528.4336493015289
37,1570,0,0.0,229.55923533439636
38,343,0,0.0,28.371405363082886
39,1435,0,0.0,162.3983609676361
40,2151,0,0.0,389.1133873462677
41,1044,0,0.0,181.45318460464478
42,2959,0,0.0,456.04255747795105
43,1119,0,0.0,218.6540927886963
44,2037,0,0.0,340.97506618499756
45,1820,0,0.0,275.1344006061554
46,1402,0,0.0,239.27025604248047
47,1068,0,0.0,114.77860498428345
48,1880,0,0.0,296.8325653076172
49,414,0,0.0,82.91305208206177
50,1887,0,0.0,251.7083604335785
51,1666,0,0.0,314.6621603965759
52,1258,0,0.0,232.59410786628723
53,2235,0,0.0,317.04256439208984
54,2359,0,0.0,389.7853629589081
55,1470,0,0.0,186.82816243171692
56,2511,0,0.0,359.06704354286194
57,1702,0,0.0,272.9869120121002
58,1648,0,0.0,283.50964403152466
59,2420,0,0.0,332.0175070762634
60,1702,0,0.0,280.89411664009094
61,2158,0,0.0,304.4352035522461
62,2681,0,0.0,402.11173272132874
63,2227,0,0.0,315.91930508613586
64,1179,0,0.0,177.92139101028442
65,2243,0,0.0,261.6920974254608
66,1662,0,0.0,240.13511443138123
67,1178,0,0.0,140.42615938186646
68,886,0,0.0,96.05103087425232
69,2262,0,0.0,202.50261926651
70,2372,0,0.0,237.63627552986145
71,302,0,0.0,16.423819303512573
72,3829,0,0.0,387.31878685951233
73,1637,0,0.0,149.1674931049347
74,2647,0,0.0,271.11205077171326
75,1633,0,0.0,151.3107385635376
76,1227,0,0.0,140.43935441970825
77,3393,0,0.0,313.5488440990448
78,1008,0,0.0,73.01922249794006
79,3716,0,0.0,358.37987327575684
80,2275,0,0.0,200.5338089466095
81,2071,0,0.0,167.28901052474976
82,1040,0,0.0,100.01866698265076
83,1875,0,0.0,187.04673099517822
84,403,0,0.0,39.1343936920166
85,1376,0,0.0,111.52794623374939
86,2849,0,0.0,258.8425409793854
87,1503,0,0.0,152.1530568599701
88,1899,0,0.0,135.64565777778625
89,1432,0,0.0,122.76806330680847
90,456,0,0.0,27.665770292282104
91,4803,0,0.0,432.4980299472809
92,2145,0,0.0,162.9861822128296
93,1749,0,0.0,132.7847385406494
94,1634,0,0.0,134.87228679656982
95,1067,0,0.0,86.36731219291687
96,1025,0,0.0,79.31467890739441
97,1252,0,0.0,79.36817240715027
98,1958,0,0.0,144.92886638641357
99,2218,0,0.0,218.66836524009705
100,970,0,0.0,58.33698654174805
101,305,0,0.0,25.439069509506226
102,1343,0,0.0,96.90966296195984
103,1244,0,0.0,114.20418429374695
104,459,0,0.0,29.936429738998413
105,1475,0,0.0,134.6015112400055
106,1012,0,0.0,76.31128096580505
107,1097,0,0.0,79.70579195022583
108,1439,0,0.0,120.32961559295654
109,2374,0,0.0,200.65172266960144
110,1901,0,0.0,178.82689571380615
111,304,0,0.0,15.246846199035645
112,1789,0,0.0,157.13247394561768
113,2701,0,0.0,213.46599578857422
114,2959,0,0.0,168.48185515403748
115,2237,0,0.0,224.95499634742737
116,260,0,0.0,10.881320714950562
117,1740,0,0.0,139.4883313179016
118,2115,0,0.0,183.54756236076355
119,4098,0,0.0,404.6760137081146
120,1097,0,0.0,106.74382543563843
121,1436,0,0.0,124.5634286403656
122,2542,0,0.0,225.49060487747192
123,2079,0,0.0,192.91398334503174
124,1702,0,0.0,140.80015087127686
125,3832,0,0.0,366.37975001335144
126,1166,0,0.0,97.36679792404175
127,246,0,0.0,28.26950454711914
128,1681,0,0.0,139.5082082748413
129,3694,0,0.0,357.43963646888733
130,1413,0,0.0,125.16320395469666
131,1963,0,0.0,211.04044246673584
132,341,0,0.0,42.70897030830383
133,1529,0,0.0,190.45427012443542
134,1026,0,0.0,130.90273666381836
135,2242,0,0.0,231.43408703804016
136,2655,0,0.0,245.94663619995117
137,2411,0,0.0,240.3092381954193
138,1237,0,0.0,106.17035102844238
139,1114,0,0.0,141.48212718963623
140,1166,0,0.0,171.58969140052795
141,2005,0,0.0,189.63752722740173
142,1114,0,0.0,148.00050520896912
143,1290,0,0.0,138.08600306510925
144,1951,0,0.0,174.2205331325531
145,1458,0,0.0,143.5308427810669
146,3431,0,0.0,280.37006759643555
147,1415,0,0.0,119.10799741744995
148,1971,0,0.0,180.71792197227478
149,1802,0,0.0,161.8038034439087
150,1003,0,0.0,112.44530272483826
151,1055,0,0.0,107.56137013435364
152,2312,0,0.0,194.51964259147644
153,2291,0,0.0,174.2712287902832
154,2254,0,0.0,173.99106287956238
155,1159,0,0.0,114.10482501983643
156,1548,0,0.0,115.8402452468872
157,1719,0,0.0,116.74037337303162
