,complexity,regret,linearity,running time
0,68307,0,0.0,62.76889443397522
1,81725,0,0.0,77.45190596580505
2,75312,0,0.0,70.42801761627197
3,52881,0,0.0,25.276251792907715
4,79755,0,0.0,71.73949885368347
5,76131,0,0.0,72.09273838996887
6,67277,0,0.0,64.45862555503845
7,54973,0,0.0,50.87049627304077
8,60549,0,0.0,57.88884782791138
9,59588,0,0.0,53.95174264907837
10,73916,0,0.0,68.01416563987732
11,70900,0,0.0,50.34827923774719
12,72812,0,0.0,39.2297306060791
13,60236,0,0.0,56.328293800354004
14,54955,0,0.0,53.62264704704285
15,68302,0,0.0,64.0564980506897
16,54895,0,0.0,53.62575817108154
17,64151,0,0.0,60.16932964324951
18,64306,0,0.0,59.39484739303589
19,61156,0,0.0,56.46883964538574
20,73145,0,0.0,70.93250966072083
21,67548,0,0.0,62.96911096572876
22,52822,0,0.0,51.2278733253479
23,70133,0,0.0,40.55345106124878
24,65078,0,0.0,60.75847673416138
25,55441,0,0.0,54.1610631942749
26,68862,0,0.0,67.28341054916382
27,65363,0,0.0,61.32553672790527
28,64320,0,0.0,59.40018677711487
29,62676,0,0.0,58.7953040599823
30,76019,0,0.0,73.22549271583557
31,65908,0,0.0,60.84653973579407
32,63843,0,0.0,34.9214346408844
33,66909,0,0.0,62.15262842178345
34,48572,0,0.0,46.68195343017578
35,72505,0,0.0,38.12361454963684
36,62611,0,0.0,61.195547580718994
37,63445,0,0.0,59.04918837547302
38,55323,0,0.0,54.124979734420776
39,57055,0,0.0,53.586459159851074
40,74933,0,0.0,69.32415819168091
41,86163,0,0.0,80.93578457832336
42,61661,0,0.0,59.31787395477295
43,63988,0,0.0,59.21561121940613
44,71823,0,0.0,66.9793872833252
45,68802,0,0.0,65.77209949493408
46,68388,0,0.0,37.22323989868164
47,55827,0,0.0,54.403080701828
48,54471,0,0.0,50.84170937538147
49,56359,0,0.0,55.022461891174316
50,64104,0,0.0,60.2271728515625
51,75303,0,0.0,43.019877910614014
52,81767,0,0.0,77.75910830497742
53,76770,0,0.0,70.9418830871582
54,69082,0,0.0,63.82573080062866
55,70112,0,0.0,65.35907077789307
56,64147,0,0.0,61.22001266479492
57,75375,0,0.0,70.78204536437988
58,67175,0,0.0,62.89309096336365
59,71044,0,0.0,69.21984052658081
60,67561,0,0.0,39.0240204334259
61,60900,0,0.0,59.340168714523315
62,66664,0,0.0,62.48826813697815
63,60484,0,0.0,55.844401121139526
64,66890,0,0.0,61.77746796607971
65,70347,0,0.0,40.9284234046936
66,66096,0,0.0,63.63001894950867
67,61534,0,0.0,59.21541452407837
68,69650,0,0.0,65.13452339172363
69,61311,0,0.0,57.50422286987305
70,65674,0,0.0,61.75816559791565
71,61125,0,0.0,59.63903522491455
72,79858,0,0.0,78.24924492835999
73,69879,0,0.0,65.62486362457275
74,69361,0,0.0,43.17029070854187
75,76813,0,0.0,71.05923295021057
76,60652,0,0.0,56.125667095184326
77,66850,0,0.0,64.28114032745361
78,62433,0,0.0,60.001073360443115
79,62275,0,0.0,58.43091940879822
80,62121,0,0.0,57.952006101608276
81,64696,0,0.0,60.5876898765564
82,68574,0,0.0,40.611971378326416
83,65239,0,0.0,63.860854148864746
84,65577,0,0.0,61.49608516693115
85,68554,0,0.0,66.89326119422913
86,69343,0,0.0,63.96613621711731
87,78823,0,0.0,72.69858908653259
88,64897,0,0.0,36.89907908439636
89,68307,0,0.0,65.10630583763123
