,complexity,regret,linearity,running time
0,40100,0,0.0,54.71695685386658
1,57755,0,0.0,78.35392928123474
2,48125,0,0.0,66.49026370048523
3,48125,0,0.0,65.26946759223938
4,48125,0,0.0,65.55763459205627
5,48125,0,0.0,66.12997579574585
6,48125,0,0.0,65.81857442855835
7,48125,0,0.0,64.9544050693512
8,40100,0,0.0,53.80759310722351
9,40100,0,0.0,53.72715473175049
10,57755,0,0.0,77.17215967178345
11,40100,0,0.0,53.976452589035034
12,57755,0,0.0,77.78139042854309
13,23200,0,0.0,31.332810163497925
14,69310,0,0.0,92.76181745529175
15,69310,0,0.0,92.05936098098755
16,57755,0,0.0,76.55532217025757
17,48125,0,0.0,64.36423897743225
18,57755,0,0.0,77.6025960445404
19,48125,0,0.0,64.33187556266785
20,57755,0,0.0,77.6035852432251
21,69310,0,0.0,91.44954538345337
22,40100,0,0.0,53.20765137672424
23,57755,0,0.0,77.07083249092102
24,19330,0,0.0,26.08239483833313
25,83175,0,0.0,110.67454528808594
26,40100,0,0.0,53.14248514175415
27,83175,0,0.0,111.46494317054749
28,48125,0,0.0,64.14760684967041
29,57755,0,0.0,76.03224325180054
30,57755,0,0.0,76.23500514030457
31,83175,0,0.0,111.17560625076294
32,57755,0,0.0,76.45236730575562
33,16105,0,0.0,21.725624084472656
34,33415,0,0.0,44.73491883277893
35,69310,0,0.0,91.62180280685425
36,33415,0,0.0,44.3779296875
37,33415,0,0.0,44.81668519973755
38,83175,0,0.0,109.57901549339294
39,69310,0,0.0,91.14157128334045
40,48125,0,0.0,64.0148298740387
41,57755,0,0.0,75.62423586845398
42,57755,0,0.0,77.24593305587769
43,48125,0,0.0,64.21457552909851
44,48125,0,0.0,64.06832671165466
45,48125,0,0.0,63.78985905647278
46,57755,0,0.0,76.20054244995117
47,48125,0,0.0,63.3705997467041
48,40100,0,0.0,52.88536548614502
49,69310,0,0.0,92.59773087501526
50,69310,0,0.0,92.11712598800659
51,69310,0,0.0,92.11889600753784
52,40100,0,0.0,53.263070583343506
53,40100,0,0.0,53.013169050216675
54,48125,0,0.0,63.27990770339966
55,33415,0,0.0,44.338632345199585
56,69310,0,0.0,90.7297875881195
57,57755,0,0.0,76.900071144104
58,48125,0,0.0,64.63343524932861
59,69310,0,0.0,90.98971247673035
60,40100,0,0.0,53.30278396606445
61,19330,0,0.0,25.973065614700317
62,40100,0,0.0,52.94116950035095
63,48125,0,0.0,63.93794512748718
64,57755,0,0.0,77.01385569572449
65,40100,0,0.0,53.225914001464844
66,40100,0,0.0,53.58813738822937
67,57755,0,0.0,76.15565204620361
68,40100,0,0.0,53.27847075462341
69,69310,0,0.0,91.4014823436737
70,33415,0,0.0,44.54532217979431
71,57755,0,0.0,76.30262756347656
72,48125,0,0.0,64.09173488616943
73,69310,0,0.0,91.56577253341675
74,69310,0,0.0,92.19023752212524
75,69310,0,0.0,91.54691457748413
76,27845,0,0.0,36.93000507354736
77,27845,0,0.0,37.77375936508179
78,57755,0,0.0,75.54080748558044
79,83175,0,0.0,109.23910737037659
80,48125,0,0.0,64.09558725357056
81,57755,0,0.0,76.56279158592224
82,48125,0,0.0,64.00009107589722
83,83175,0,0.0,111.02321147918701
84,48125,0,0.0,64.20527172088623
85,40100,0,0.0,53.22229790687561
86,33415,0,0.0,44.2804491519928
87,57755,0,0.0,76.49988460540771
88,57755,0,0.0,76.00033068656921
89,40100,0,0.0,53.88587832450867
90,40100,0,0.0,53.51094436645508
91,48125,0,0.0,63.2039680480957
92,48125,0,0.0,63.79373025894165
93,83175,0,0.0,109.6948733329773
94,69310,0,0.0,91.51979637145996
95,40100,0,0.0,53.34679460525513
96,48125,0,0.0,63.515262603759766
97,33415,0,0.0,44.611587047576904
98,69310,0,0.0,90.17243766784668
99,48125,0,0.0,63.7031352519989
