,complexity,regret,linearity,running time
0,2501166,0,0.0,14943.092441558838
1,2275135,0,0.0,13715.594278097153
2,2471463,0,0.0,14534.946146965027
3,2269491,0,0.0,12394.293923854828
4,2356211,0,0.0,13502.844079256058
5,2318419,0,0.0,13363.340840816498
6,2411065,0,0.0,14283.543831825256
7,2487007,0,0.0,14321.160816669464
8,2407104,0,0.0,14379.288742542267
9,2372028,0,0.0,13816.636194705963
10,2192995,0,0.0,12838.767936706543
11,2338621,0,0.0,13990.976328134537
12,2361835,0,0.0,12351.393607854843
13,2058318,0,0.0,11889.547049760818
14,2357555,0,0.0,13484.545901060104
15,2468864,0,0.0,14921.774005889893
16,2417531,0,0.0,14070.362006902695
17,2411626,0,0.0,14009.627033233643
18,2452849,0,0.0,14613.926713705063
19,2357788,0,0.0,14217.20238161087
20,2342480,0,0.0,13861.197792768478
21,2364720,0,0.0,14277.487164020538
22,2280594,0,0.0,13557.39673948288
23,2332929,0,0.0,12524.76800084114
24,2323469,0,0.0,13798.820387363434
25,2327210,0,0.0,14010.018788337708
26,2360775,0,0.0,14322.770503044128
27,2416327,0,0.0,14661.829746484756
28,2263677,0,0.0,13441.745612621307
29,2519910,0,0.0,15114.98322057724
30,2202640,0,0.0,12672.508335351944
31,2580017,0,0.0,15389.058997631073
32,2191559,0,0.0,12766.122770786285
33,2586467,0,0.0,15393.975319862366
34,2454342,0,0.0,14382.9755692482
35,2308617,0,0.0,13565.862461566925
36,2319908,0,0.0,13869.931273937225
37,2613351,0,0.0,15642.246933221817
38,2342088,0,0.0,13183.945542573929
39,2418976,0,0.0,14410.427569389343
40,2330724,0,0.0,13520.839672327042
41,2339823,0,0.0,13348.760524988174
42,2256630,0,0.0,13719.969092130661
43,2437657,0,0.0,13495.685195446014
44,2403496,0,0.0,13908.268389940262
45,2509181,0,0.0,15131.815536022186
46,2325864,0,0.0,14093.508199453354
47,2342682,0,0.0,13377.927102565765
48,2408944,0,0.0,14217.13225698471
49,2485073,0,0.0,14184.392748117447
50,2202253,0,0.0,11110.412963867188
51,2301632,0,0.0,13885.365704774857
52,2393040,0,0.0,14329.036080121994
53,2341764,0,0.0,13916.98293375969
54,2649360,0,0.0,15923.615491628647
55,2372225,0,0.0,14304.908018112183
56,2324594,0,0.0,13775.341762781143
57,2326722,0,0.0,12630.091059684753
58,2495229,0,0.0,15012.595096826553
59,2354959,0,0.0,13102.436824798584
60,2442869,0,0.0,14597.307051420212
61,2308882,0,0.0,13742.371809005737
62,2455115,0,0.0,14197.671363592148
63,2195220,0,0.0,12585.100321054459
64,2363112,0,0.0,13610.294184207916
65,2229985,0,0.0,13481.937877178192
66,2237283,0,0.0,13366.430995941162
67,2418861,0,0.0,14104.425330638885
68,2601119,0,0.0,15390.949301481247
69,2213184,0,0.0,13103.390191793442
70,2481643,0,0.0,14834.015923261642
71,2657694,0,0.0,15200.800863981247
72,2386485,0,0.0,14291.781163930893
73,2292724,0,0.0,13559.289581775665
74,2373370,0,0.0,14203.751833200455
75,2397461,0,0.0,14261.82500576973
76,2252466,0,0.0,13501.360731124878
77,2276888,0,0.0,14021.144093513489
78,2621254,0,0.0,15975.821013450623
79,2409127,0,0.0,14782.42851471901
80,2553647,0,0.0,15718.203769207
81,2441424,0,0.0,14975.570878982544
82,2337810,0,0.0,14267.424576282501
83,2448516,0,0.0,14909.451362371445
84,2314113,0,0.0,14277.286879301071
85,2390305,0,0.0,14759.674516677856
86,2400702,0,0.0,14842.910853385925
87,2486226,0,0.0,15100.355208396912
88,2234577,0,0.0,13303.949749231339
89,2331375,0,0.0,13802.172341108322
90,2500064,0,0.0,14656.229949474335
91,2325720,0,0.0,13556.563241481781
92,2397818,0,0.0,13693.98260307312
93,2598446,0,0.0,14190.505869150162
94,2247341,0,0.0,12668.29064822197
95,2304701,0,0.0,12766.8674762249
96,2311530,0,0.0,12923.3992664814
97,2238811,0,0.0,12519.9077334404
98,2343293,0,0.0,11386.704965353012
99,2210642,0,0.0,7499.8941950798035
